file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.23909310418732002;0.9865754284763762;0.13602971488877524;-1;-1;token based replay
sample 0.8;0.23909310418732002;0.9865754284763762;0.13602971488877524;-1;-1;token based replay
sample 0.7;0.23909310418732002;0.9865754284763762;0.13602971488877524;-1;-1;token based replay
sample 0.6;0.23777668492949908;0.9780615934638734;0.13533955059719405;-1;-1;token based replay
sample 0.5;0.2171003035675743;0.9768897543945445;0.12211988350724645;-1;-1;token based replay
sample 0.4;0.22088238468409382;0.9925984200446935;0.12426781710110224;-1;-1;token based replay
sample 0.3;0.22095297626715657;0.9944057567894509;0.12428421558770819;-1;-1;token based replay
sample 0.2;0.22049832751464182;0.9967589931552367;0.12396009814982922;-1;-1;token based replay
sample 0.1;0.24806055878853245;0.9992989028456742;0.1416060381892732;-1;-1;token based replay
sample 0.05;0.33453355860276435;0.9977214827219859;0.20095696775189786;-1;-1;token based replay
sample 0.01;0.6514171437688332;0.986114961825465;0.4863461359886283;-1;-1;token based replay
sample 0.005;0.9331841996689217;0.9662662489807756;0.9022924217340075;-1;-1;token based replay
sample 0.001;0.9310782653400905;0.9133111563477484;0.9495503539766567;-1;-1;token based replay
