file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.49443673344523115;1.0;0.3284064804374959;-1;-1;token based replay
sample 0.8;0.49443673344523115;1.0;0.3284064804374959;-1;-1;token based replay
sample 0.7;0.49443673344523115;1.0;0.3284064804374959;-1;-1;token based replay
sample 0.6;0.49443673344523115;1.0;0.3284064804374959;-1;-1;token based replay
sample 0.5;0.6302189267091819;0.9999670670373977;0.46009430890739944;-1;-1;token based replay
sample 0.4;0.6302189267091819;0.9999670670373977;0.46009430890739944;-1;-1;token based replay
sample 0.3;0.6302189267091819;0.9999670670373977;0.46009430890739944;-1;-1;token based replay
sample 0.2;0.6302189275706632;0.9999670713751464;0.46009430890739944;-1;-1;token based replay
sample 0.1;0.40310117789926136;0.9997282901630435;0.25244481945016617;-1;-1;token based replay
sample 0.05;0.4174587731448671;0.9990379613519731;0.26385716603637;-1;-1;token based replay
sample 0.01;0.562545393841498;0.9974055666312214;0.39174707029374745;-1;-1;token based replay
sample 0.005;0.8195209462992011;0.993502486572589;0.697393779464524;-1;-1;token based replay
sample 0.001;0.965076431403177;0.9769019430125191;0.9535337939553017;-1;-1;token based replay
