file;f1;fitness;precision;generalisation;simplicity;method
base_event_log;0.9097809588881742;0.9297546424751609;0.8906474061577394;-1;-1;token based replay
sample 0.8;0.9098642816472652;0.9299287021574979;0.8906474061577394;-1;-1;token based replay
sample 0.7;0.9126197953508388;0.9300444614872696;0.8958360345085523;-1;-1;token based replay
sample 0.6;0.9126197953508388;0.9300444614872696;0.8958360345085523;-1;-1;token based replay
sample 0.5;0.9124847034162774;0.9297639049891521;0.8958360345085523;-1;-1;token based replay
sample 0.4;0.694681264994304;0.9297340031845777;0.554495317038149;-1;-1;token based replay
sample 0.3;0.7824172066262532;0.9283251685846352;0.676145209632175;-1;-1;token based replay
sample 0.2;0.9390376187681827;0.9180056971247375;0.9610558384285988;-1;-1;token based replay
sample 0.1;0.9499667955200913;0.9158993255217527;0.9866664963792641;-1;-1;token based replay
sample 0.05;0.9479705751275743;0.9127800569695477;0.9859833068910809;-1;-1;token based replay
sample 0.01;0.9667069371804491;0.9523540775792833;0.9814990383834006;-1;-1;token based replay
sample 0.005;0.955813690896942;0.9460677720395034;0.9657624949782017;-1;-1;token based replay
sample 0.001;0.30105728022665235;0.9472727253258802;0.17896797454317936;-1;-1;token based replay
